"step_idx","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MIN","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MAX"
"691","0","0","0","691.8840666215488","691.8840666215488","691.8840666215488"
"782","1","1","1","457.1697805376958","457.1697805376958","457.1697805376958"
"862","2","2","2","367.96837651326433","367.96837651326433","367.96837651326433"
"927","3","3","3","316.47125176341234","316.47125176341234","316.47125176341234"
"982","4","4","4","281.0453510510223","281.0453510510223","281.0453510510223"
"1037","5","5","5","257.1183276581343","257.1183276581343","257.1183276581343"
"1090","6","6","6","239.7056166118507","239.7056166118507","239.7056166118507"
"1144","7","7","7","226.5999499196747","226.5999499196747","226.5999499196747"
"1204","8","8","8","218.25507136155645","218.25507136155645","218.25507136155645"
"1306","9","9","9","219.28219824385278","219.28219824385278","219.28219824385278"
"1368","10","10","10","212.66825725356173","212.66825725356173","212.66825725356173"
"1424","11","11","11","207.17964374180522","207.17964374180522","207.17964374180522"
"1481","12","12","12","201.90906377815816","201.90906377815816","201.90906377815816"
"1538","13","13","13","197.6180505884768","197.6180505884768","197.6180505884768"
"1594","14","14","14","193.84376410144094","193.84376410144094","193.84376410144094"
"1652","15","15","15","190.98678055462312","190.98678055462312","190.98678055462312"
"1710","16","16","16","188.2079369767442","188.2079369767442","188.2079369767442"
"1768","17","17","17","185.91608673235157","185.91608673235157","185.91608673235157"
"1829","18","18","18","183.9840218041236","183.9840218041236","183.9840218041236"
"1933","19","19","19","187.11586243173514","187.11586243173514","187.11586243173514"
"2001","20","20","20","186.19188160321968","186.19188160321968","186.19188160321968"
"2056","21","21","21","184.344661194159","184.344661194159","184.344661194159"
"2110","22","22","22","181.9304115107822","181.9304115107822","181.9304115107822"
"2164","23","23","23","180.2346605770248","180.2346605770248","180.2346605770248"
"2219","24","24","24","178.23353240099294","178.23353240099294","178.23353240099294"
"2276","25","25","25","177.122514530293","177.122514530293","177.122514530293"
"2336","26","26","26","175.97753410892776","175.97753410892776","175.97753410892776"
"2394","27","27","27","175.13622672119382","175.13622672119382","175.13622672119382"
"2450","28","28","28","173.83583761402153","173.83583761402153","173.83583761402153"
"2548","29","29","29","175.3585239759068","175.3585239759068","175.3585239759068"
"2612","30","30","30","175.01882657093142","175.01882657093142","175.01882657093142"
"2670","31","31","31","174.06002368141154","174.06002368141154","174.06002368141154"
"2728","32","32","32","173.43703969185486","173.43703969185486","173.43703969185486"
"2786","33","33","33","172.51972779428203","172.51972779428203","172.51972779428203"
"2844","34","34","34","171.9178468980679","171.9178468980679","171.9178468980679"
"2897","35","35","35","170.80107814893472","170.80107814893472","170.80107814893472"
"2953","36","36","36","170.09252319571374","170.09252319571374","170.09252319571374"
"3015","37","37","37","169.64175076222028","169.64175076222028","169.64175076222028"
"3073","38","38","38","169.06814981670627","169.06814981670627","169.06814981670627"
"3157","39","39","39","169.6987890637087","169.6987890637087","169.6987890637087"
"3217","40","40","40","168.97418804718532","168.97418804718532","168.97418804718532"
"3278","41","41","41","168.6404683388442","168.6404683388442","168.6404683388442"
"3337","42","42","42","168.10680748393963","168.10680748393963","168.10680748393963"
"3394","43","43","43","167.59080439437432","167.59080439437432","167.59080439437432"
"3450","44","44","44","166.8977981293331","166.8977981293331","166.8977981293331"
"3505","45","45","45","166.38566180364916","166.38566180364916","166.38566180364916"
"3559","46","46","46","165.6350457415395","165.6350457415395","165.6350457415395"
"3619","47","47","47","165.29622404973938","165.29622404973938","165.29622404973938"
"3677","48","48","48","165.05543878809104","165.05543878809104","165.05543878809104"
"3772","49","49","49","165.7725820181312","165.7725820181312","165.7725820181312"
"3834","50","50","50","155.3868382342571","155.3868382342571","155.3868382342571"
"3891","51","51","51","153.64361441007136","153.64361441007136","153.64361441007136"
"3942","52","52","52","152.6620693871904","152.6620693871904","152.6620693871904"
"3995","53","53","53","151.85182650861657","151.85182650861657","151.85182650861657"
"4042","54","54","54","151.64616347845998","151.64616347845998","151.64616347845998"
"4092","55","55","55","151.23868825536144","151.23868825536144","151.23868825536144"
"4145","56","56","56","151.3980239746253","151.3980239746253","151.3980239746253"
"4195","57","57","57","151.01588928852135","151.01588928852135","151.01588928852135"
"4249","58","58","58","150.93184795392312","150.93184795392312","150.93184795392312"
"4341","59","59","59","150.5012808649855","150.5012808649855","150.5012808649855"
"4403","60","60","60","150.76797868429597","150.76797868429597","150.76797868429597"
"4462","61","61","61","150.84739510714545","150.84739510714545","150.84739510714545"
"4527","62","62","62","151.37679423480796","151.37679423480796","151.37679423480796"
"4596","63","63","63","152.01461207092072","152.01461207092072","152.01461207092072"
"4695","64","64","64","154.23601237358383","154.23601237358383","154.23601237358383"
"4798","65","65","65","156.52495180173318","156.52495180173318","156.52495180173318"
"4890","66","66","66","158.95508644386658","158.95508644386658","158.95508644386658"
"4991","67","67","67","159.8143183467813","159.8143183467813","159.8143183467813"
"5108","68","68","68","164.0722249831511","164.0722249831511","164.0722249831511"
"5351","69","69","69","174.4411392227453","174.4411392227453","174.4411392227453"
"5477","70","70","70","178.5596063541395","178.5596063541395","178.5596063541395"
"5648","71","71","71","186.07819468281932","186.07819468281932","186.07819468281932"
"5795","72","72","72","192.09302608771202","192.09302608771202","192.09302608771202"
"5989","73","73","73","200.98133110653112","200.98133110653112","200.98133110653112"
"6219","74","74","74","211.94608721673788","211.94608721673788","211.94608721673788"
"7340","75","75","75","278.03203168402507","278.03203168402507","278.03203168402507"
"7518","76","76","76","286.4450032234427","286.4450032234427","286.4450032234427"
"7694","77","77","77","294.1317598388459","294.1317598388459","294.1317598388459"
"7877","78","78","78","302.2738294133943","302.2738294133943","302.2738294133943"
"8193","79","79","79","317.77182907940096","317.77182907940096","317.77182907940096"
