"step_idx","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MIN","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MAX","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MIN","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MAX"
"783","0","0","0","809.8888971516529","809.8888971516529","809.8888971516529"
"865","1","1","1","504.5473990948579","504.5473990948579","504.5473990948579"
"940","2","2","2","400.9413775254779","400.9413775254779","400.9413775254779"
"1004","3","3","3","340.07790793596126","340.07790793596126","340.07790793596126"
"1061","4","4","4","301.10440470556017","301.10440470556017","301.10440470556017"
"1115","5","5","5","273.6172587306293","273.6172587306293","273.6172587306293"
"1171","6","6","6","254.662762135611","254.662762135611","254.662762135611"
"1226","7","7","7","240.2671209371136","240.2671209371136","240.2671209371136"
"1287","8","8","8","230.3242040984888","230.3242040984888","230.3242040984888"
"1388","9","9","9","229.40849096306397","229.40849096306397","229.40849096306397"
"1448","10","10","10","221.50124531550475","221.50124531550475","221.50124531550475"
"1506","11","11","11","215.7160090674848","215.7160090674848","215.7160090674848"
"1569","12","12","12","210.7731098965869","210.7731098965869","210.7731098965869"
"1624","13","13","13","206.03937749265236","206.03937749265236","206.03937749265236"
"1679","14","14","14","201.0664928580358","201.0664928580358","201.0664928580358"
"1740","15","15","15","198.60877054759155","198.60877054759155","198.60877054759155"
"1792","16","16","16","194.23480310238975","194.23480310238975","194.23480310238975"
