"step_idx","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MIN","22_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MAX"
"408","0","0","0","340.0279147303161","340.0279147303161","340.0279147303161"
"770","1","1","1","384.02663381009063","384.02663381009063","384.02663381009063"
"846","2","2","2","317.5519347135933","317.5519347135933","317.5519347135933"
"926","3","3","3","291.43389687037103","291.43389687037103","291.43389687037103"
"997","4","4","4","268.1388223041101","268.1388223041101","268.1388223041101"
"1063","5","5","5","250.9395818584999","250.9395818584999","250.9395818584999"
"1123","6","6","6","235.51826963002515","235.51826963002515","235.51826963002515"
"1180","7","7","7","224.50160520683104","224.50160520683104","224.50160520683104"
"1239","8","8","8","215.54167509653894","215.54167509653894","215.54167509653894"
"1342","9","9","9","219.7479669613254","219.7479669613254","219.7479669613254"
"1408","10","10","10","215.6262960043446","215.6262960043446","215.6262960043446"
"1470","11","11","11","210.51238368746147","210.51238368746147","210.51238368746147"
"1527","12","12","12","206.98789541229675","206.98789541229675","206.98789541229675"
"1581","13","13","13","201.75595176655426","201.75595176655426","201.75595176655426"
"1642","14","14","14","200.3426476837086","200.3426476837086","200.3426476837086"
"1712","15","15","15","196.96345687903678","196.96345687903678","196.96345687903678"
"1781","16","16","16","196.86147576002182","196.86147576002182","196.86147576002182"
"1835","17","17","17","192.61623130738414","192.61623130738414","192.61623130738414"
"1888","18","18","18","190.25055207089216","190.25055207089216","190.25055207089216"
"1977","19","19","19","191.5086223664627","191.5086223664627","191.5086223664627"
"2032","20","20","20","188.72738010871805","188.72738010871805","188.72738010871805"
"2085","21","21","21","186.82763151651417","186.82763151651417","186.82763151651417"
"2139","22","22","22","184.56223276512557","184.56223276512557","184.56223276512557"
"2198","23","23","23","183.56888184413","183.56888184413","183.56888184413"
"2257","24","24","24","182.050115538675","182.050115538675","182.050115538675"
"2335","25","25","25","182.18729498715481","182.18729498715481","182.18729498715481"
"2488","26","26","26","192.5220506563745","192.5220506563745","192.5220506563745"
"2691","27","27","27","201.88338104677024","201.88338104677024","201.88338104677024"
"2822","28","28","28","206.33283850122757","206.33283850122757","206.33283850122757"
"3213","29","29","29","238.03383459470285","238.03383459470285","238.03383459470285"
"3367","30","30","30","244.55850321741428","244.55850321741428","244.55850321741428"
"3518","31","31","31","251.6847360970501","251.6847360970501","251.6847360970501"
"3663","32","32","32","256.2781696643295","256.2781696643295","256.2781696643295"
"3814","33","33","33","263.21927545565507","263.21927545565507","263.21927545565507"
"3882","34","34","34","260.3513089749918","260.3513089749918","260.3513089749918"
"3949","35","35","35","256.8662115923831","256.8662115923831","256.8662115923831"
"4039","36","36","36","255.5533703057894","255.5533703057894","255.5533703057894"
"4129","37","37","37","255.43312399350026","255.43312399350026","255.43312399350026"
"4208","38","38","38","252.74793717783513","252.74793717783513","252.74793717783513"
"4421","39","39","39","252.10607832082806","252.10607832082806","252.10607832082806"
"4542","40","40","40","254.9366093323989","254.9366093323989","254.9366093323989"
"4616","41","41","41","253.2031193741894","253.2031193741894","253.2031193741894"
"4710","42","42","42","253.07843207979224","253.07843207979224","253.07843207979224"
"4780","43","43","43","250.9461918130701","250.9461918130701","250.9461918130701"
"4864","44","44","44","250.57431950732","250.57431950732","250.57431950732"
"4933","45","45","45","248.36935206514036","248.36935206514036","248.36935206514036"
"5005","46","46","46","247.2407556913972","247.2407556913972","247.2407556913972"
"5068","47","47","47","245.1232347226878","245.1232347226878","245.1232347226878"
"5132","48","48","48","243.69651352030593","243.69651352030593","243.69651352030593"
"5435","49","49","49","252.54293261221954","252.54293261221954","252.54293261221954"
"5794","50","50","50","269.7658790166368","269.7658790166368","269.7658790166368"
"6037","51","51","51","273.00914120516916","273.00914120516916","273.00914120516916"
"6127","52","52","52","273.5310756834936","273.5310756834936","273.5310756834936"
"6207","53","53","53","273.46197567229484","273.46197567229484","273.46197567229484"
"6277","54","54","54","273.2190109827595","273.2190109827595","273.2190109827595"
"6346","55","55","55","273.41584886025925","273.41584886025925","273.41584886025925"
"6410","56","56","56","273.62182689683226","273.62182689683226","273.62182689683226"
"6476","57","57","57","274.0545551268388","274.0545551268388","274.0545551268388"
"6540","58","58","58","274.2620022769673","274.2620022769673","274.2620022769673"
"6923","59","59","59","287.3942846514094","287.3942846514094","287.3942846514094"
"7306","60","60","60","305.6827660553994","305.6827660553994","305.6827660553994"
"7941","61","61","61","335.1876202033301","335.1876202033301","335.1876202033301"
"8078","62","62","62","338.82189347453567","338.82189347453567","338.82189347453567"
"8339","63","63","63","348.83304199779127","348.83304199779127","348.83304199779127"
"8415","64","64","64","348.7065452714066","348.7065452714066","348.7065452714066"
"8502","65","65","65","350.38552020372083","350.38552020372083","350.38552020372083"
"8582","66","66","66","351.70830201313424","351.70830201313424","351.70830201313424"
"8666","67","67","67","354.44272779945527","354.44272779945527","354.44272779945527"
"8748","68","68","68","356.1298142774249","356.1298142774249","356.1298142774249"
"8847","69","69","69","355.9235976488881","355.9235976488881","355.9235976488881"
"8908","70","70","70","356.0150916818346","356.0150916818346","356.0150916818346"
"8974","71","71","71","356.50097444908147","356.50097444908147","356.50097444908147"
"9042","72","72","72","357.2449970549867","357.2449970549867","357.2449970549867"
"9103","73","73","73","356.91687090896005","356.91687090896005","356.91687090896005"
"9165","74","74","74","357.26116529835076","357.26116529835076","357.26116529835076"
"9225","75","75","75","356.4036599604167","356.4036599604167","356.4036599604167"
"9290","76","76","76","350.5529178983268","350.5529178983268","350.5529178983268"
"9352","77","77","77","344.3204223693821","344.3204223693821","344.3204223693821"
"9411","78","78","78","340.85596825525624","340.85596825525624","340.85596825525624"
"9505","79","79","79","321.88672863517286","321.88672863517286","321.88672863517286"
"9575","80","80","80","316.5710825336926","316.5710825336926","316.5710825336926"
"9643","81","81","81","310.63419433384564","310.63419433384564","310.63419433384564"
"9696","82","82","82","305.1737942171173","305.1737942171173","305.1737942171173"
"9758","83","83","83","298.4311892757938","298.4311892757938","298.4311892757938"
"9823","84","84","84","298.3654745850816","298.3654745850816","298.3654745850816"
"9880","85","85","85","298.51846458301145","298.51846458301145","298.51846458301145"
"9935","86","86","86","297.13993581676243","297.13993581676243","297.13993581676243"
"9995","87","87","87","294.931736427294","294.931736427294","294.931736427294"
"10063","88","88","88","295.52005879770246","295.52005879770246","295.52005879770246"
"10361","89","89","89","307.64427326148865","307.64427326148865","307.64427326148865"
"10457","90","90","90","305.30719757072137","305.30719757072137","305.30719757072137"
"10689","91","91","91","317.45252327172506","317.45252327172506","317.45252327172506"
"10785","92","92","92","316.6078878706297","316.6078878706297","316.6078878706297"
"10847","93","93","93","317.1149189087192","317.1149189087192","317.1149189087192"
"10911","94","94","94","315.51439180053956","315.51439180053956","315.51439180053956"
"11395","95","95","95","341.87860665846364","341.87860665846364","341.87860665846364"
"11687","96","96","96","356.1640518780285","356.1640518780285","356.1640518780285"
"11974","97","97","97","370.7293251801959","370.7293251801959","370.7293251801959"
"12074","98","98","98","372.0861009265336","372.0861009265336","372.0861009265336"
"12250","99","99","99","367.92099742360256","367.92099742360256","367.92099742360256"
"12804","100","100","100","378.49754520477035","378.49754520477035","378.49754520477035"
"13115","101","101","101","383.35058396896756","383.35058396896756","383.35058396896756"
"13327","102","102","102","390.73405801290414","390.73405801290414","390.73405801290414"
"13417","103","103","103","391.4980802858772","391.4980802858772","391.4980802858772"
"13733","104","104","104","404.5754838426012","404.5754838426012","404.5754838426012"
"14281","105","105","105","431.48421152725814","431.48421152725814","431.48421152725814"
"14382","106","106","106","433.4737405188915","433.4737405188915","433.4737405188915"
"14479","107","107","107","433.6919225189912","433.6919225189912","433.6919225189912"
"14595","108","108","108","438.25806214194796","438.25806214194796","438.25806214194796"
