"step_idx","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MIN","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MAX","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MIN","21_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MAX"
"921","0","0","0","1580.5701946626987","1580.5701946626987","1580.5701946626987"
"1001","1","1","1","914.9402251385637","914.9402251385637","914.9402251385637"
"1081","2","2","2","680.1786828014593","680.1786828014593","680.1786828014593"
"1160","3","3","3","554.4493732733323","554.4493732733323","554.4493732733323"
"1231","4","4","4","479.1397589149316","479.1397589149316","479.1397589149316"
"1307","5","5","5","428.62226885352635","428.62226885352635","428.62226885352635"
"1387","6","6","6","395.7529395998161","395.7529395998161","395.7529395998161"
"1460","7","7","7","367.1555915330248","367.1555915330248","367.1555915330248"
"1522","8","8","8","344.4430060923064","344.4430060923064","344.4430060923064"
"1733","9","9","9","363.0280710806004","363.0280710806004","363.0280710806004"
"1840","10","10","10","359.8683078489716","359.8683078489716","359.8683078489716"
"1958","11","11","11","360.3856544181188","360.3856544181188","360.3856544181188"
"2046","12","12","12","348.016887914471","348.016887914471","348.016887914471"
"2120","13","13","13","333.9601182539886","333.9601182539886","333.9601182539886"
"2214","14","14","14","332.4191319966913","332.4191319966913","332.4191319966913"
"2292","15","15","15","324.4961014231031","324.4961014231031","324.4961014231031"
"2489","16","16","16","343.6465587690887","343.6465587690887","343.6465587690887"
"2576","17","17","17","337.0779033243297","337.0779033243297","337.0779033243297"
"2678","18","18","18","333.79989076370043","333.79989076370043","333.79989076370043"
"2962","19","19","19","354.93407835176856","354.93407835176856","354.93407835176856"
"3523","20","20","20","413.29199669725415","413.29199669725415","413.29199669725415"
"5088","21","21","21","541.8569273818563","541.8569273818563","541.8569273818563"
"5163","22","22","22","524.0401465917013","524.0401465917013","524.0401465917013"
"5234","23","23","23","509.8993835756055","509.8993835756055","509.8993835756055"
"5306","24","24","24","496.15044493335085","496.15044493335085","496.15044493335085"
"5397","25","25","25","485.32233849102056","485.32233849102056","485.32233849102056"
"5495","26","26","26","475.4018411492361","475.4018411492361","475.4018411492361"
"5580","27","27","27","465.1249528898293","465.1249528898293","465.1249528898293"
"5685","28","28","28","457.09141968961825","457.09141968961825","457.09141968961825"
"7998","29","29","29","609.1090200933863","609.1090200933863","609.1090200933863"
"8379","30","30","30","617.60943168104","617.60943168104","617.60943168104"
"11151","31","31","31","798.8651922119013","798.8651922119013","798.8651922119013"
"11869","32","32","32","824.523204016245","824.523204016245","824.523204016245"
"11964","33","33","33","805.4906540223616","805.4906540223616","805.4906540223616"
"12085","34","34","34","790.3132116080809","790.3132116080809","790.3132116080809"
"12201","35","35","35","773.8437167470017","773.8437167470017","773.8437167470017"
"12320","36","36","36","762.3218395315928","762.3218395315928","762.3218395315928"
"12452","37","37","37","750.5998577673628","750.5998577673628","750.5998577673628"
"13012","38","38","38","764.6508159209632","764.6508159209632","764.6508159209632"
"13770","39","39","39","788.3305118238729","788.3305118238729","788.3305118238729"
"15319","40","40","40","861.1294058042973","861.1294058042973","861.1294058042973"
"15758","41","41","41","870.9741717334681","870.9741717334681","870.9741717334681"
"15869","42","42","42","859.5267717838894","859.5267717838894","859.5267717838894"
"16017","43","43","43","848.09681020182","848.09681020182","848.09681020182"
"16291","44","44","44","843.5303930992419","843.5303930992419","843.5303930992419"
"16731","45","45","45","856.9932111027931","856.9932111027931","856.9932111027931"
"17248","46","46","46","868.624158310489","868.624158310489","868.624158310489"
"17585","47","47","47","871.1222111855187","871.1222111855187","871.1222111855187"
"17698","48","48","48","857.7482926647709","857.7482926647709","857.7482926647709"
"17940","49","49","49","854.2355758962444","854.2355758962444","854.2355758962444"
"18542","50","50","50","860.7198015483414","860.7198015483414","860.7198015483414"
"19669","51","51","51","931.3293104745463","931.3293104745463","931.3293104745463"
"20197","52","52","52","959.5650998335282","959.5650998335282","959.5650998335282"
"21061","53","53","53","1014.1607600002956","1014.1607600002956","1014.1607600002956"
"21585","54","54","54","1048.4537676096961","1048.4537676096961","1048.4537676096961"
"22353","55","55","55","1088.24495313274","1088.24495313274","1088.24495313274"
"22740","56","56","56","1114.4183000787925","1114.4183000787925","1114.4183000787925"
"22966","57","57","57","1125.3883218298229","1125.3883218298229","1125.3883218298229"
"23264","58","58","58","1140.8212298838291","1140.8212298838291","1140.8212298838291"
"23548","59","59","59","1150.2560734125193","1150.2560734125193","1150.2560734125193"
"24807","60","60","60","1231.1108175803292","1231.1108175803292","1231.1108175803292"
"25486","61","61","61","1268.2916310404755","1268.2916310404755","1268.2916310404755"
"26636","62","62","62","1339.79064779818","1339.79064779818","1339.79064779818"
"26933","63","63","63","1358.451635017041","1358.451635017041","1358.451635017041"
"27323","64","64","64","1382.3186524410457","1382.3186524410457","1382.3186524410457"
"27739","65","65","65","1405.2756118991338","1405.2756118991338","1405.2756118991338"
"28004","66","66","66","1409.9370432954604","1409.9370432954604","1409.9370432954604"
"28365","67","67","67","1429.8100823542713","1429.8100823542713","1429.8100823542713"
"28574","68","68","68","1440.116202699476","1440.116202699476","1440.116202699476"
"29121","69","69","69","1465.4044768561714","1465.4044768561714","1465.4044768561714"
"29639","70","70","70","1466.0503164338197","1466.0503164338197","1466.0503164338197"
"30071","71","71","71","1431.745871485927","1431.745871485927","1431.745871485927"
"32098","72","72","72","1565.588026204879","1565.588026204879","1565.588026204879"
"33882","73","73","73","1677.3079791709897","1677.3079791709897","1677.3079791709897"
"34691","74","74","74","1738.521432902049","1738.521432902049","1738.521432902049"
"35007","75","75","75","1760.0917235365926","1760.0917235365926","1760.0917235365926"
"35534","76","76","76","1787.100666383845","1787.100666383845","1787.100666383845"
"35822","77","77","77","1805.0917754246288","1805.0917754246288","1805.0917754246288"
"35988","78","78","78","1811.5225716189318","1811.5225716189318","1811.5225716189318"
"36304","79","79","79","1733.7034343833116","1733.7034343833116","1733.7034343833116"
"38196","80","80","80","1869.670775364023","1869.670775364023","1869.670775364023"
"38522","81","81","81","1762.1218553515587","1762.1218553515587","1762.1218553515587"
"38845","82","82","82","1751.8479005654935","1751.8479005654935","1751.8479005654935"
"39081","83","83","83","1761.150480708161","1761.150480708161","1761.150480708161"
"39805","84","84","84","1806.373523991098","1806.373523991098","1806.373523991098"
"40385","85","85","85","1842.800085092659","1842.800085092659","1842.800085092659"
"40734","86","86","86","1863.3634779590418","1863.3634779590418","1863.3634779590418"
"40888","87","87","87","1868.138874987127","1868.138874987127","1868.138874987127"
"41261","88","88","88","1868.0732003250334","1868.0732003250334","1868.0732003250334"
"41951","89","89","89","1874.4515016210896","1874.4515016210896","1874.4515016210896"
"42696","90","90","90","1855.6417857419365","1855.6417857419365","1855.6417857419365"
"43407","91","91","91","1879.5404323880264","1879.5404323880264","1879.5404323880264"
"43912","92","92","92","1911.2330354945536","1911.2330354945536","1911.2330354945536"
"44926","93","93","93","1970.6213395941481","1970.6213395941481","1970.6213395941481"
"45587","94","94","94","1993.9360090011853","1993.9360090011853","1993.9360090011853"
"45771","95","95","95","1983.3108787783262","1983.3108787783262","1983.3108787783262"
"47680","96","96","96","2107.931472042051","2107.931472042051","2107.931472042051"
"47969","97","97","97","2103.442444180021","2103.442444180021","2103.442444180021"
"48122","98","98","98","2110.1314495543998","2110.1314495543998","2110.1314495543998"
"48767","99","99","99","2140.4978272896856","2140.4978272896856","2140.4978272896856"
"49090","100","100","100","2122.3393372704027","2122.3393372704027","2122.3393372704027"
"50000","101","101","101","2110.1803778251406","2110.1803778251406","2110.1803778251406"
"50143","102","102","102","2086.3307412019612","2086.3307412019612","2086.3307412019612"
"50500","103","103","103","2056.897994630187","2056.897994630187","2056.897994630187"
"51024","104","104","104","2051.8079080240545","2051.8079080240545","2051.8079080240545"
"51337","105","105","105","2032.3853311637313","2032.3853311637313","2032.3853311637313"
"53217","106","106","106","2146.6478997787385","2146.6478997787385","2146.6478997787385"
"53416","107","107","107","2144.961545580123","2144.961545580123","2144.961545580123"
"53768","108","108","108","2152.956771103061","2152.956771103061","2152.956771103061"
"54123","109","109","109","2161.5720299141335","2161.5720299141335","2161.5720299141335"
"54685","110","110","110","2119.3820570436683","2119.3820570436683","2119.3820570436683"
"55100","111","111","111","2107.529780433917","2107.529780433917","2107.529780433917"
"56073","112","112","112","2100.6392498591736","2100.6392498591736","2100.6392498591736"
"57135","113","113","113","2150.755115030089","2150.755115030089","2150.755115030089"
"57426","114","114","114","2133.719503651426","2133.719503651426","2133.719503651426"
"57819","115","115","115","2130.024076896783","2130.024076896783","2130.024076896783"
