"step_idx","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MAX","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MAX"
"809","0","0","0","1248.740782784005","1248.740782784005","1248.740782784005"
"870","1","1","1","147.16251835972758","147.16251835972758","147.16251835972758"
"931","2","2","2","154.1591592316469","154.1591592316469","154.1591592316469"
"990","3","3","3","144.14811227749564","144.14811227749564","144.14811227749564"
"1053","4","4","4","159.3122451375437","159.3122451375437","159.3122451375437"
"1113","5","5","5","148.7981294662029","148.7981294662029","148.7981294662029"
"1169","6","6","6","144.21300579783875","144.21300579783875","144.21300579783875"
"1221","7","7","7","129.7747322982303","129.7747322982303","129.7747322982303"
"1269","8","8","8","123.37769821095976","123.37769821095976","123.37769821095976"
"1362","9","9","9","222.25702118550333","222.25702118550333","222.25702118550333"
"1426","10","10","10","150.97149143996975","150.97149143996975","150.97149143996975"
"1484","11","11","11","145.7035219969841","145.7035219969841","145.7035219969841"
"1545","12","12","12","166.30243388844025","166.30243388844025","166.30243388844025"
"1601","13","13","13","132.77154781175975","132.77154781175975","132.77154781175975"
"1662","14","14","14","179.95841071416385","179.95841071416385","179.95841071416385"
"1721","15","15","15","130.7390209021946","130.7390209021946","130.7390209021946"
"1776","16","16","16","148.63782085823226","148.63782085823226","148.63782085823226"
"1834","17","17","17","131.57883769577646","131.57883769577646","131.57883769577646"
"1898","18","18","18","176.32240076193807","176.32240076193807","176.32240076193807"
"2008","19","19","19","239.40893567362048","239.40893567362048","239.40893567362048"
"2069","20","20","20","141.35303993406066","141.35303993406066","141.35303993406066"
"2129","21","21","21","158.86373831170317","158.86373831170317","158.86373831170317"
"2184","22","22","22","128.72073292313308","128.72073292313308","128.72073292313308"
"2246","23","23","23","161.4945001587496","161.4945001587496","161.4945001587496"
"2304","24","24","24","138.48478104142114","138.48478104142114","138.48478104142114"
"2357","25","25","25","139.93651158080647","139.93651158080647","139.93651158080647"
"2408","26","26","26","122.42110973888262","122.42110973888262","122.42110973888262"
"2458","27","27","27","132.00139574117043","132.00139574117043","132.00139574117043"
"2507","28","28","28","117.87313696005543","117.87313696005543","117.87313696005543"
"2595","29","29","29","199.53062088362117","199.53062088362117","199.53062088362117"
"2659","30","30","30","158.71611373219798","158.71611373219798","158.71611373219798"
"2719","31","31","31","153.95698741874244","153.95698741874244","153.95698741874244"
"2781","32","32","32","153.11983763964398","153.11983763964398","153.11983763964398"
"2837","33","33","33","141.67702679372746","141.67702679372746","141.67702679372746"
"2893","34","34","34","142.10306082579146","142.10306082579146","142.10306082579146"
"2951","35","35","35","145.94271652218706","145.94271652218706","145.94271652218706"
"3007","36","36","36","144.11263496390185","144.11263496390185","144.11263496390185"
"3062","37","37","37","135.92880573782224","135.92880573782224","135.92880573782224"
"3120","38","38","38","145.34921203867532","145.34921203867532","145.34921203867532"
"3208","39","39","39","206.3839855264641","206.3839855264641","206.3839855264641"
"3275","40","40","40","159.34777594543337","159.34777594543337","159.34777594543337"
"3335","41","41","41","155.31944310057207","155.31944310057207","155.31944310057207"
"3395","42","42","42","145.9936347394099","145.9936347394099","145.9936347394099"
"3454","43","43","43","145.94819242917654","145.94819242917654","145.94819242917654"
"3514","44","44","44","153.5809280587583","153.5809280587583","153.5809280587583"
"3575","45","45","45","152.3666891587775","152.3666891587775","152.3666891587775"
"3631","46","46","46","148.00992231704402","148.00992231704402","148.00992231704402"
"3685","47","47","47","131.86076701639527","131.86076701639527","131.86076701639527"
"3740","48","48","48","143.66304342948783","143.66304342948783","143.66304342948783"
"3840","49","49","49","226.4472352355572","226.4472352355572","226.4472352355572"
"3904","50","50","50","146.8427797465961","146.8427797465961","146.8427797465961"
"3967","51","51","51","165.70477116527746","165.70477116527746","165.70477116527746"
"4031","52","52","52","150.31867912793527","150.31867912793527","150.31867912793527"
"4096","53","53","53","172.12510580932585","172.12510580932585","172.12510580932585"
"4160","54","54","54","152.81181615908963","152.81181615908963","152.81181615908963"
"4223","55","55","55","164.60865339420036","164.60865339420036","164.60865339420036"
"4279","56","56","56","135.36171021730988","135.36171021730988","135.36171021730988"
