"step_idx","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MAX","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)__MAX"
"809","0","0","0","1248.740782784005","1248.740782784005","1248.740782784005"
"870","1","1","1","697.9516505718663","697.9516505718663","697.9516505718663"
"931","2","2","2","516.6874867917932","516.6874867917932","516.6874867917932"
"990","3","3","3","423.55264316321876","423.55264316321876","423.55264316321876"
"1053","4","4","4","370.70456355808375","370.70456355808375","370.70456355808375"
"1113","5","5","5","333.7201578761036","333.7201578761036","333.7201578761036"
"1169","6","6","6","306.6477075792086","306.6477075792086","306.6477075792086"
"1221","7","7","7","284.53858566908633","284.53858566908633","284.53858566908633"
"1269","8","8","8","266.63182039596114","266.63182039596114","266.63182039596114"
"1362","9","9","9","262.19434047491535","262.19434047491535","262.19434047491535"
"1426","10","10","10","252.08317238082938","252.08317238082938","252.08317238082938"
"1484","11","11","11","243.21820151550892","243.21820151550892","243.21820151550892"
"1545","12","12","12","237.30160400573442","237.30160400573442","237.30160400573442"
"1601","13","13","13","229.8351714204505","229.8351714204505","229.8351714204505"
"1662","14","14","14","226.5100540400314","226.5100540400314","226.5100540400314"
"1721","15","15","15","220.52436446891664","220.52436446891664","220.52436446891664"
"1776","16","16","16","216.29574425652345","216.29574425652345","216.29574425652345"
"1834","17","17","17","211.58924944759306","211.58924944759306","211.58924944759306"
"1898","18","18","18","209.73309951676913","209.73309951676913","209.73309951676913"
"2008","19","19","19","211.2168913246117","211.2168913246117","211.2168913246117"
"2069","20","20","20","207.89004125839497","207.89004125839497","207.89004125839497"
"2129","21","21","21","205.66157294263624","205.66157294263624","205.66157294263624"
"2184","22","22","22","202.31631902874483","202.31631902874483","202.31631902874483"
"2246","23","23","23","200.61540990916168","200.61540990916168","200.61540990916168"
"2304","24","24","24","198.13018475445205","198.13018475445205","198.13018475445205"
"2357","25","25","25","195.8919665554657","195.8919665554657","195.8919665554657"
"2408","26","26","26","193.17082371040706","193.17082371040706","193.17082371040706"
"2458","27","27","27","190.98620128293433","190.98620128293433","190.98620128293433"
"2507","28","28","28","188.46506113386954","188.46506113386954","188.46506113386954"
"2595","29","29","29","188.8339131255279","188.8339131255279","188.8339131255279"
"2659","30","30","30","187.86237120961405","187.86237120961405","187.86237120961405"
"2719","31","31","31","186.80282796614932","186.80282796614932","186.80282796614932"
"2781","32","32","32","185.78213128958856","185.78213128958856","185.78213128958856"
"2837","33","33","33","184.48492233382794","184.48492233382794","184.48492233382794"
"2893","34","34","34","183.2740120050269","183.2740120050269","183.2740120050269"
"2951","35","35","35","182.237031574948","182.237031574948","182.237031574948"
"3007","36","36","36","181.20664247735215","181.20664247735215","181.20664247735215"
"3062","37","37","37","180.01512045789084","180.01512045789084","180.01512045789084"
"3120","38","38","38","179.1262510112443","179.1262510112443","179.1262510112443"
"3208","39","39","39","179.8076943741248","179.8076943741248","179.8076943741248"
"3275","40","40","40","179.30867197342502","179.30867197342502","179.30867197342502"
"3335","41","41","41","178.7374998574047","178.7374998574047","178.7374998574047"
"3395","42","42","42","177.9760146221025","177.9760146221025","177.9760146221025"
"3454","43","43","43","177.24810957226327","177.24810957226327","177.24810957226327"
"3514","44","44","44","176.7221722052965","176.7221722052965","176.7221722052965"
"3575","45","45","45","176.19270518254606","176.19270518254606","176.19270518254606"
"3631","46","46","46","175.5930715045567","175.5930715045567","175.5930715045567"
"3685","47","47","47","174.68198182771994","174.68198182771994","174.68198182771994"
"3740","48","48","48","174.04894226857235","174.04894226857235","174.04894226857235"
"3840","49","49","49","175.09690812791203","175.09690812791203","175.09690812791203"
"3904","50","50","50","153.0589480671639","153.0589480671639","153.0589480671639"
"3967","51","51","51","153.4297931232749","153.4297931232749","153.4297931232749"
"4031","52","52","52","153.35298352120066","153.35298352120066","153.35298352120066"
"4096","53","53","53","153.91252339183723","153.91252339183723","153.91252339183723"
"4160","54","54","54","153.78251481226818","153.78251481226818","153.78251481226818"
"4223","55","55","55","154.09872529082813","154.09872529082813","154.09872529082813"
"4279","56","56","56","153.92169937921756","153.92169937921756","153.92169937921756"
"4336","57","57","57","154.30257752471533","154.30257752471533","154.30257752471533"
"4391","58","58","58","154.49740958417075","154.49740958417075","154.49740958417075"
"4486","59","59","59","154.39967982340252","154.39967982340252","154.39967982340252"
"4546","60","60","60","154.29890657375353","154.29890657375353","154.29890657375353"
"4601","61","61","61","154.29939286489264","154.29939286489264","154.29939286489264"
"4656","62","62","62","153.6184373648521","153.6184373648521","153.6184373648521"
"4717","63","63","63","154.04403974638012","154.04403974638012","154.04403974638012"
"4771","64","64","64","153.11556125819217","153.11556125819217","153.11556125819217"
"4825","65","65","65","153.2025950351938","153.2025950351938","153.2025950351938"
"4889","66","66","66","153.53677794424084","153.53677794424084","153.53677794424084"
"4950","67","67","67","153.9436293186356","153.9436293186356","153.9436293186356"
"5012","68","68","68","153.57368738989828","153.57368738989828","153.57368738989828"
"5108","69","69","69","153.24379903459493","153.24379903459493","153.24379903459493"
"5171","70","70","70","153.6073550188648","153.6073550188648","153.6073550188648"
"5228","71","71","71","153.38674476861956","153.38674476861956","153.38674476861956"
"5284","72","72","72","153.67352653400152","153.67352653400152","153.67352653400152"
"5338","73","73","73","153.13556957704725","153.13556957704725","153.13556957704725"
"5390","74","74","74","153.05794050298294","153.05794050298294","153.05794050298294"
"5446","75","75","75","153.0034005107343","153.0034005107343","153.0034005107343"
"5500","76","76","76","153.35540869650453","153.35540869650453","153.35540869650453"
"5555","77","77","77","153.41833682615604","153.41833682615604","153.41833682615604"
"5610","78","78","78","153.9152211341433","153.9152211341433","153.9152211341433"
"5707","79","79","79","154.42482405362392","154.42482405362392","154.42482405362392"
"5776","80","80","80","154.72433482483183","154.72433482483183","154.72433482483183"
"5839","81","81","81","154.87648915436216","154.87648915436216","154.87648915436216"
"5897","82","82","82","154.68474438561202","154.68474438561202","154.68474438561202"
"5955","83","83","83","154.85507154043432","154.85507154043432","154.85507154043432"
"6014","84","84","84","154.9030709343039","154.9030709343039","154.9030709343039"
"6081","85","85","85","155.39523746270143","155.39523746270143","155.39523746270143"
"6148","86","86","86","155.85301251859656","155.85301251859656","155.85301251859656"
"6209","87","87","87","156.1141289261647","156.1141289261647","156.1141289261647"
"6271","88","88","88","156.3475639389655","156.3475639389655","156.3475639389655"
"6363","89","89","89","156.51103794431847","156.51103794431847","156.51103794431847"
"6424","90","90","90","156.1992423258692","156.1992423258692","156.1992423258692"
"6483","91","91","91","156.1912471487568","156.1912471487568","156.1912471487568"
"6539","92","92","92","156.00085344535023","156.00085344535023","156.00085344535023"
"6593","93","93","93","155.82303087162833","155.82303087162833","155.82303087162833"
"6648","94","94","94","155.56680334094463","155.56680334094463","155.56680334094463"
"6709","95","95","95","155.6708686010329","155.6708686010329","155.6708686010329"
"6768","96","96","96","155.63766375561744","155.63766375561744","155.63766375561744"
"6821","97","97","97","155.7294992940243","155.7294992940243","155.7294992940243"
"6882","98","98","98","155.9201330994379","155.9201330994379","155.9201330994379"
"6979","99","99","99","156.07068833223082","156.07068833223082","156.07068833223082"
"7047","100","100","100","156.26503511764966","156.26503511764966","156.26503511764966"
"7101","101","101","101","155.64678189105828","155.64678189105828","155.64678189105828"
"7152","102","102","102","155.2728470393104","155.2728470393104","155.2728470393104"
"7201","103","103","103","154.25437306241292","154.25437306241292","154.25437306241292"
"7251","104","104","104","153.77332025487857","153.77332025487857","153.77332025487857"
"7304","105","105","105","153.14819523526197","153.14819523526197","153.14819523526197"
"7358","106","106","106","153.21595530867273","153.21595530867273","153.21595530867273"
"7412","107","107","107","152.95296057327437","152.95296057327437","152.95296057327437"
"7470","108","108","108","153.20934749602205","153.20934749602205","153.20934749602205"
"7556","109","109","109","152.82460173597565","152.82460173597565","152.82460173597565"
"7622","110","110","110","153.36987404347758","153.36987404347758","153.36987404347758"
"7674","111","111","111","153.1192539893222","153.1192539893222","153.1192539893222"
"7729","112","112","112","153.6860418629024","153.6860418629024","153.6860418629024"
