"step_idx","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MIN","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MAX","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MIN","20_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MAX"
"141","0","0","0","247.13519258675197","247.13519258675197","247.13519258675197"
"242","1","1","1","247.36659757744792","247.36659757744792","247.36659757744792"
"345","2","2","2","233.55925746957197","233.55925746957197","233.55925746957197"
"455","3","3","3","240.92309485530535","240.92309485530535","240.92309485530535"
"564","4","4","4","236.02523148153142","236.02523148153142","236.02523148153142"
"636","5","5","5","227.96197527388833","227.96197527388833","227.96197527388833"
"700","6","6","6","217.17480285735772","217.17480285735772","217.17480285735772"
"758","7","7","7","209.34018016851383","209.34018016851383","209.34018016851383"
"810","8","8","8","199.87444151784285","199.87444151784285","199.87444151784285"
"906","9","9","9","202.71108849045737","202.71108849045737","202.71108849045737"
"963","10","10","10","196.26234400034252","196.26234400034252","196.26234400034252"
"1023","11","11","11","193.27937172692256","193.27937172692256","193.27937172692256"
"1079","12","12","12","190.4938504664998","190.4938504664998","190.4938504664998"
"1133","13","13","13","186.2560527211067","186.2560527211067","186.2560527211067"
"1196","14","14","14","186.2550340226089","186.2550340226089","186.2550340226089"
"1262","15","15","15","183.75055649478998","183.75055649478998","183.75055649478998"
"1316","16","16","16","181.8210318909823","181.8210318909823","181.8210318909823"
"1379","17","17","17","179.72375815660305","179.72375815660305","179.72375815660305"
"1439","18","18","18","178.57754864495692","178.57754864495692","178.57754864495692"
"1536","19","19","19","179.7004803724771","179.7004803724771","179.7004803724771"
"1598","20","20","20","178.72707927009566","178.72707927009566","178.72707927009566"
"1657","21","21","21","177.29391510561337","177.29391510561337","177.29391510561337"
"1718","22","22","22","176.6285166101295","176.6285166101295","176.6285166101295"
"1780","23","23","23","175.30763113892803","175.30763113892803","175.30763113892803"
"1846","24","24","24","175.07806153120032","175.07806153120032","175.07806153120032"
"1908","25","25","25","173.98424070571323","173.98424070571323","173.98424070571323"
"1963","26","26","26","172.92028491128835","172.92028491128835","172.92028491128835"
"2014","27","27","27","171.13694978958551","171.13694978958551","171.13694978958551"
"2066","28","28","28","169.91915716579166","169.91915716579166","169.91915716579166"
"2159","29","29","29","170.96079860802317","170.96079860802317","170.96079860802317"
"2226","30","30","30","170.9133164525307","170.9133164525307","170.9133164525307"
"2289","31","31","31","170.62229720803512","170.62229720803512","170.62229720803512"
"2337","32","32","32","169.0526397931508","169.0526397931508","169.0526397931508"
"2389","33","33","33","167.97300408749132","167.97300408749132","167.97300408749132"
"2443","34","34","34","166.97741825654438","166.97741825654438","166.97741825654438"
"2500","35","35","35","166.39909750515375","166.39909750515375","166.39909750515375"
"2555","36","36","36","165.58799178397098","165.58799178397098","165.58799178397098"
"2614","37","37","37","165.22715878370846","165.22715878370846","165.22715878370846"
