"step_idx","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - _step","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MIN","24_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MAX"
"191","0","0","0","220.56415968198505","220.56415968198505","220.56415968198505"
"322","1","1","1","274.05724100292235","274.05724100292235","274.05724100292235"
"449","2","2","2","250.8683590570209","250.8683590570209","250.8683590570209"
"574","3","3","3","244.793992242308","244.793992242308","244.793992242308"
"723","4","4","4","281.4489815458708","281.4489815458708","281.4489815458708"
"795","5","5","5","265.91626103877246","265.91626103877246","265.91626103877246"
"857","6","6","6","247.62022682163615","247.62022682163615","247.62022682163615"
"921","7","7","7","237.94403447595045","237.94403447595045","237.94403447595045"
"977","8","8","8","226.54443251200738","226.54443251200738","226.54443251200738"
"1072","9","9","9","224.73067356256593","224.73067356256593","224.73067356256593"
"1129","10","10","10","216.90327866672206","216.90327866672206","216.90327866672206"
"1184","11","11","11","210.92684831524207","210.92684831524207","210.92684831524207"
"1248","12","12","12","206.63976387130867","206.63976387130867","206.63976387130867"
"1315","13","13","13","203.47611877096125","203.47611877096125","203.47611877096125"
"1369","14","14","14","199.01819089682854","199.01819089682854","199.01819089682854"
"1423","15","15","15","195.26583917134997","195.26583917134997","195.26583917134997"
"1483","16","16","16","192.55285946749098","192.55285946749098","192.55285946749098"
"1544","17","17","17","190.41246516186717","190.41246516186717","190.41246516186717"
"1602","18","18","18","188.01442252251854","188.01442252251854","188.01442252251854"
"1684","19","19","19","188.2912674145188","188.2912674145188","188.2912674145188"
"1743","20","20","20","186.6337719593686","186.6337719593686","186.6337719593686"
"1803","21","21","21","184.5792034607232","184.5792034607232","184.5792034607232"
"1858","22","22","22","183.1159568573351","183.1159568573351","183.1159568573351"
"1914","23","23","23","180.78666650120581","180.78666650120581","180.78666650120581"
"1977","24","24","24","180.3713686945002","180.3713686945002","180.3713686945002"
"2034","25","25","25","178.38470060033058","178.38470060033058","178.38470060033058"
"2095","26","26","26","178.09065961539767","178.09065961539767","178.09065961539767"
"2147","27","27","27","176.0140084373356","176.0140084373356","176.0140084373356"
"2200","28","28","28","174.921386616148","174.921386616148","174.921386616148"
"2301","29","29","29","176.81620633977982","176.81620633977982","176.81620633977982"
"2364","30","30","30","176.10635107575013","176.10635107575013","176.10635107575013"
"2425","31","31","31","175.43861332045418","175.43861332045418","175.43861332045418"
"2477","32","32","32","173.9757547210806","173.9757547210806","173.9757547210806"
"2529","33","33","33","172.8472226321806","172.8472226321806","172.8472226321806"
"2583","34","34","34","171.65422412009667","171.65422412009667","171.65422412009667"
"2645","35","35","35","171.4540931596691","171.4540931596691","171.4540931596691"
"2705","36","36","36","170.8807364100612","170.8807364100612","170.8807364100612"
"2762","37","37","37","170.3070370667699","170.3070370667699","170.3070370667699"
